Filename: echmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.0000000000E+00  7.4183198053E-01  1.3874806431E+06  1.0278681103E+06  1.0292775134E+06  1.3894007283E+06
  2.0000000000E+00  5.0982078423E-01  3.1615630787E+06  1.6096477467E+06  1.6118305681E+06  3.1659702207E+06
  3.0000000000E+00  3.6091387780E-01  5.0990566633E+06  1.8378799587E+06  1.8403203135E+06  5.1062391442E+06
  4.0000000000E+00  2.7248805042E-01  6.7305323234E+06  1.8316405520E+06  1.8339896311E+06  6.7401599017E+06
  5.0000000000E+00  2.2068635355E-01  7.7468627079E+06  1.7075501814E+06  1.7096268825E+06  7.7582365231E+06
  6.0000000000E+00  1.9110066454E-01  8.0927363227E+06  1.5448006608E+06  1.5465272892E+06  8.1051247090E+06
  7.0000000000E+00  1.7575003673E-01  7.9005680912E+06  1.3871703006E+06  1.3885251323E+06  7.9133593113E+06
  8.0000000000E+00  1.7032808773E-01  7.3685529970E+06  1.2540836439E+06  1.2550715413E+06  7.3812351562E+06
  9.0000000000E+00  1.7202539497E-01  6.6952466009E+06  1.1511053303E+06  1.1517524409E+06  6.7073358697E+06
  1.0000000000E+01  1.7868928580E-01  6.0257663099E+06  1.0763797294E+06  1.0767398783E+06  6.0368643579E+06
  1.1000000000E+01  1.8871465625E-01  5.4331924409E+06  1.0252052281E+06  1.0253230438E+06  5.4431778446E+06
  1.2000000000E+01  2.0275016058E-01  4.8980880018E+06  9.9317339550E+05  9.9308812891E+05  4.9068899785E+06
  1.3000000000E+01  2.1988222280E-01  4.4424036164E+06  9.7706612612E+05  9.7680558174E+05  4.4501395866E+06
  1.4000000000E+01  2.3949527417E-01  4.0601205494E+06  9.7279697249E+05  9.7237968413E+05  4.0670082047E+06
  1.5000000000E+01  2.6171293636E-01  3.7198791611E+06  9.7410383510E+05  9.7354049815E+05  3.7261651874E+06
  1.6000000000E+01  2.8499794247E-01  3.4036263476E+06  9.7071260717E+05  9.7002650599E+05  3.4093970251E+06
  1.7000000000E+01  3.0582716999E-01  3.0958010495E+06  9.4753875801E+05  9.4678007382E+05  3.1009957921E+06
  1.8000000000E+01  3.1880549569E-01  2.7991833422E+06  8.9315202120E+05  8.9239503294E+05  2.8037683976E+06
  1.9000000000E+01  3.2189195003E-01  2.5303809117E+06  8.1521507693E+05  8.1450924600E+05  2.5345841521E+06
  2.0000000000E+01  3.1882199631E-01  2.2939729363E+06  7.3199919697E+05  7.3136903104E+05  2.2977827863E+06
  2.1000000000E+01  3.0386632499E-01  2.0913617319E+06  6.3600979288E+05  6.3549440369E+05  2.0947990380E+06
  2.2000000000E+01  2.9078515003E-01  1.9163034963E+06  5.5765819133E+05  5.5723259968E+05  1.9195682275E+06
  2.3000000000E+01  2.7624458366E-01  1.7673298948E+06  4.8855810782E+05  4.8821531098E+05  1.7703708156E+06
  2.4000000000E+01  2.6905927436E-01  1.6413752788E+06  4.4191772915E+05  4.4162724148E+05  1.6441285521E+06
  2.5000000000E+01  2.8738265052E-01  1.5321059250E+06  4.4061799078E+05  4.4030066160E+05  1.5346893975E+06
  2.6000000000E+01  3.0467136704E-01  1.4356738320E+06  4.3774090800E+05  4.3740870903E+05  1.4379686061E+06
  2.7000000000E+01  3.2367617430E-01  1.3488862979E+06  4.3695307390E+05  4.3660235647E+05  1.3510090135E+06
  2.8000000000E+01  3.4432348763E-01  1.2705894594E+06  4.3786633122E+05  4.3749379401E+05  1.2726399548E+06
  2.9000000000E+01  3.6529653943E-01  1.2011994370E+06  4.3918425980E+05  4.3879399751E+05  1.2030490263E+06
  3.0000000000E+01  3.8599027165E-01  1.1386661282E+06  4.3992259553E+05  4.3951404813E+05  1.1404104606E+06
  3.1000000000E+01  4.0851320672E-01  1.0831573758E+06  4.4291503074E+05  4.4248409298E+05  1.0848874469E+06
  3.2000000000E+01  4.3396288184E-01  1.0338466366E+06  4.4910369017E+05  4.4865106579E+05  1.0354214294E+06
  3.3000000000E+01  4.6276743516E-01  9.8833174229E+05  4.5784610298E+05  4.5736774547E+05  9.8983661287E+05
  3.4000000000E+01  4.9557189868E-01  9.4559066449E+05  4.6911222880E+05  4.6860816098E+05  9.4711816950E+05
  3.5000000000E+01  5.3114112129E-01  9.0570720149E+05  4.8158460967E+05  4.8105833856E+05  9.0708237495E+05
  3.6000000000E+01  5.6510293451E-01  8.6611634568E+05  4.8999836868E+05  4.8944488857E+05  8.6736630757E+05
  3.7000000000E+01  5.8479213299E-01  8.2645720770E+05  4.8387257684E+05  4.8330567332E+05  8.2762057936E+05
  3.8000000000E+01  5.8307373910E-01  7.8814610992E+05  4.6009810372E+05  4.5954729926E+05  7.8929309242E+05
  3.9000000000E+01  5.8864226098E-01  7.5290788880E+05  4.4372735666E+05  4.4319340197E+05  7.5413005055E+05
  4.0000000000E+01  5.9691324687E-01  7.2088976018E+05  4.3081499969E+05  4.3030864738E+05  7.2201525255E+05
  4.1000000000E+01  6.0476235952E-01  6.9029159605E+05  4.1794849612E+05  4.1746237438E+05  6.9132653349E+05
  4.2000000000E+01  6.0590232652E-01  6.6119609444E+05  4.0109058555E+05  4.0062025191E+05  6.6215273640E+05
  4.3000000000E+01  5.9906734126E-01  6.3408386986E+05  3.8031838402E+05  3.7985893806E+05  6.3498698442E+05
  4.4000000000E+01  5.9988780672E-01  6.0936803881E+05  3.6601410413E+05  3.6555245629E+05  6.1027403105E+05
  4.5000000000E+01  6.0715285351E-01  5.8621361602E+05  3.5637987466E+05  3.5592126974E+05  5.8721473078E+05
  4.6000000000E+01  6.1611593802E-01  5.6508213921E+05  3.4859312079E+05  3.4815611226E+05  5.6601342571E+05
  4.7000000000E+01  6.1828278789E-01  5.4472291870E+05  3.3720331734E+05  3.3679280480E+05  5.4559260904E+05
  4.8000000000E+01  6.1358446505E-01  5.2556489154E+05  3.2285979788E+05  3.2247845282E+05  5.2637988512E+05
  4.9000000000E+01  6.1453250652E-01  5.0803500400E+05  3.1256570815E+05  3.1220402441E+05  5.0880025848E+05
  5.0000000000E+01  6.1730582402E-01  4.9171318118E+05  3.0388688204E+05  3.0353741049E+05  4.9243335533E+05
  5.1000000000E+01  6.2092842442E-01  4.7641545432E+05  2.9616728613E+05  2.9581989742E+05  4.7709583889E+05
  5.2000000000E+01  6.2507160271E-01  4.6185243177E+05  2.8904885941E+05  2.8869083974E+05  4.6250718985E+05
  5.3000000000E+01  6.2963725789E-01  4.4777876770E+05  2.8231461253E+05  2.8193819543E+05  4.4844963504E+05
  5.4000000000E+01  6.3470205876E-01  4.3386186099E+05  2.7575851494E+05  2.7537301639E+05  4.3463892993E+05
  5.5000000000E+01  6.3834942137E-01  4.2075694215E+05  2.6895987256E+05  2.6858995056E+05  4.2149270353E+05
  5.6000000000E+01  6.3908526204E-01  4.0737963264E+05  2.6070430231E+05  2.6035031928E+05  4.0807972570E+05
  5.7000000000E+01  6.2927905559E-01  3.9330046794E+05  2.4782614657E+05  2.4749574703E+05  3.9397305476E+05
  5.8000000000E+01  5.9007540096E-01  3.7890474848E+05  2.2386711645E+05  2.2358237139E+05  3.7955229506E+05
  5.9000000000E+01  5.1310943607E-01  3.6644829844E+05  1.8824360493E+05  1.8802807976E+05  3.6706978330E+05
  6.0000000000E+01  5.2501846589E-01  3.5836794320E+05  1.8836514825E+05  1.8814978776E+05  3.5896105163E+05
  6.1000000000E+01  5.3116083389E-01  3.5034026777E+05  1.8629722077E+05  1.8608702877E+05  3.5090902889E+05
  6.2000000000E+01  5.3750784818E-01  3.4270550875E+05  1.8441244214E+05  1.8420690057E+05  3.4325164886E+05
  6.3000000000E+01  5.4408330889E-01  3.3544233163E+05  1.8270994621E+05  1.8250857373E+05  3.3596665899E+05
  6.4000000000E+01  5.5085796131E-01  3.2852033827E+05  1.8116581175E+05  1.8096804379E+05  3.2902427100E+05
  6.5000000000E+01  5.5779534443E-01  3.2191325129E+05  1.7975647968E+05  1.7956171288E+05  3.2239839605E+05
  6.6000000000E+01  5.6488824464E-01  3.1560038107E+05  1.7847153545E+05  1.7827894527E+05  3.1606803991E+05
  6.7000000000E+01  5.7210279939E-01  3.0956013882E+05  1.7729233856E+05  1.7710022200E+05  3.1001155232E+05
  6.8000000000E+01  5.7939140528E-01  3.0377175998E+05  1.7619836799E+05  1.7600274690E+05  3.0420834336E+05
  6.9000000000E+01  5.8678646191E-01  2.9820098055E+05  1.7518716474E+05  1.7498029831E+05  2.9862872231E+05
  7.0000000000E+01  5.9438540624E-01  2.9277371741E+05  1.7424713397E+05  1.7402042496E+05  2.9321820898E+05
  7.1000000000E+01  6.0262352477E-01  2.8734792676E+05  1.7340666541E+05  1.7316262046E+05  2.8788750069E+05
  7.2000000000E+01  6.1040243444E-01  2.8255112599E+05  1.7270935876E+05  1.7246989516E+05  2.8307121091E+05
  7.3000000000E+01  6.1840105991E-01  2.7793227371E+05  1.7210893345E+05  1.7187361265E+05  2.7843410962E+05
  7.4000000000E+01  6.2646264183E-01  2.7346341319E+05  1.7154608907E+05  1.7131461227E+05  2.7394816679E+05
  7.5000000000E+01  6.3358377435E-01  2.6912123598E+05  1.7073818049E+05  1.7051084845E+05  2.6959001037E+05
  7.6000000000E+01  6.4040500914E-01  2.6493218439E+05  1.6988728613E+05  1.6966389796E+05  2.6538598272E+05
  7.7000000000E+01  6.4756696638E-01  2.6090435999E+05  1.6917292255E+05  1.6895304491E+05  2.6134410670E+05
  7.8000000000E+01  6.5484441259E-01  2.5702078554E+05  1.6852531071E+05  1.6830862533E+05  2.5744732156E+05
  7.9000000000E+01  6.6217939793E-01  2.5327142779E+05  1.6792493667E+05  1.6771112157E+05  2.5368554660E+05
  8.0000000000E+01  6.6956649985E-01  2.4964668831E+05  1.6736636967E+05  1.6715505929E+05  2.5004922387E+05
  8.1000000000E+01  6.7702647295E-01  2.4612589336E+05  1.6684291572E+05  1.6663374549E+05  2.4651801722E+05
  8.2000000000E+01  6.8465181159E-01  2.4272411543E+05  1.6638885183E+05  1.6618150534E+05  2.4310659719E+05
  8.3000000000E+01  6.9257858995E-01  2.3943064662E+05  1.6603037717E+05  1.6582453963E+05  2.3980414148E+05
  8.4000000000E+01  6.9995816997E-01  2.3622646197E+05  1.6555287755E+05  1.6534864202E+05  2.3659146049E+05
  8.5000000000E+01  7.0727117720E-01  2.3312224540E+05  1.6508343231E+05  1.6488064494E+05  2.3347921227E+05
  8.6000000000E+01  7.1441542632E-01  2.3010536597E+05  1.6459228601E+05  1.6439082313E+05  2.3045483856E+05
