Filename: ubcmaBtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.0000000000E+00  7.4996830788E-01  1.4782330331E+06  1.1072693292E+06  1.1086279265E+06  1.4801031883E+06
  2.0000000000E+00  5.2360766345E-01  3.3527960135E+06  1.7534688801E+06  1.7555496867E+06  3.3571074084E+06
  3.0000000000E+00  3.7805367108E-01  5.3930204762E+06  2.0365676868E+06  2.0388511892E+06  5.4000674753E+06
  4.0000000000E+00  2.9254911975E-01  7.1143327671E+06  2.0791582285E+06  2.0812917887E+06  7.1237936080E+06
  5.0000000000E+00  2.4422385265E-01  8.1991815234E+06  2.0006362771E+06  2.0024357002E+06  8.2103661799E+06
  6.0000000000E+00  2.1912935684E-01  8.5902414531E+06  1.8809873628E+06  1.8823740847E+06  8.6024273542E+06
  7.0000000000E+00  2.0950359209E-01  8.4218874315E+06  1.7634609811E+06  1.7644156691E+06  8.4344723126E+06
  8.0000000000E+00  2.1110918925E-01  7.8958137414E+06  1.6663453407E+06  1.6668788374E+06  7.9082947723E+06
  9.0000000000E+00  2.2092536254E-01  7.2146665747E+06  1.5937547647E+06  1.5939028286E+06  7.2265666947E+06
  1.0000000000E+01  2.3619959994E-01  6.5278327368E+06  1.5420415729E+06  1.5418714809E+06  6.5387572483E+06
  1.1000000000E+01  2.5437364606E-01  5.9124685610E+06  1.5044025622E+06  1.5039761851E+06  5.9222979403E+06
  1.2000000000E+01  2.7540110724E-01  5.3513423483E+06  1.4743882001E+06  1.4737656079E+06  5.3600050022E+06
  1.3000000000E+01  2.9709836773E-01  4.8701169397E+06  1.4476717521E+06  1.4469037934E+06  4.8777286477E+06
  1.4000000000E+01  3.1790227772E-01  4.4659416417E+06  1.4206050771E+06  1.4197330201E+06  4.4727172812E+06
  1.5000000000E+01  3.3822511137E-01  4.1091598961E+06  1.3907707765E+06  1.3898210635E+06  4.1153426714E+06
  1.6000000000E+01  3.5864023203E-01  3.7829039055E+06  1.3577079578E+06  1.3567015344E+06  3.7885702221E+06
  1.7000000000E+01  3.8059495352E-01  3.4708489479E+06  1.3220318965E+06  1.3209875940E+06  3.4759243063E+06
  1.8000000000E+01  4.0453954853E-01  3.1737084544E+06  1.2849536015E+06  1.2838905853E+06  3.1781494019E+06
  1.9000000000E+01  4.2895430240E-01  2.9058809648E+06  1.2475681342E+06  1.2464901421E+06  2.9099196592E+06
  2.0000000000E+01  4.5300487616E-01  2.6692792497E+06  1.2102803910E+06  1.2091965160E+06  2.6729040667E+06
  2.1000000000E+01  4.7585209042E-01  2.4632947370E+06  1.1732422026E+06  1.1721639499E+06  2.4665319285E+06
  2.2000000000E+01  4.9813888239E-01  2.2794700195E+06  1.1365605990E+06  1.1354926480E+06  2.2825380881E+06
  2.3000000000E+01  5.1947106486E-01  2.1163621785E+06  1.1004367108E+06  1.0993889145E+06  2.1192144158E+06
  2.4000000000E+01  5.3977676583E-01  1.9711363253E+06  1.0649943036E+06  1.0639735907E+06  1.9737115022E+06
  2.5000000000E+01  5.5941075599E-01  1.8400754316E+06  1.0303560330E+06  1.0293579882E+06  1.8425013398E+06
  2.6000000000E+01  5.7781121030E-01  1.7231966274E+06  9.9665714151E+05  9.9568232885E+05  1.7253413899E+06
  2.7000000000E+01  5.9559380328E-01  1.6169189710E+06  9.6398478411E+05  9.6302691950E+05  1.6189056622E+06
