Filename: ubcmaCtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.0000000000E+00  7.3394193397E-01  1.1327455197E+06  8.2998124579E+05  8.3136943745E+05  1.1346240675E+06
  2.0000000000E+00  4.9648231105E-01  2.5932834326E+06  1.2853540916E+06  1.2875193518E+06  2.5975809618E+06
  3.0000000000E+00  3.4447744208E-01  4.1925273667E+06  1.4417812757E+06  1.4442311031E+06  4.1995125260E+06
  4.0000000000E+00  2.5339194544E-01  5.5316964304E+06  1.3992838420E+06  1.4016873201E+06  5.5410400178E+06
  5.0000000000E+00  1.9831026304E-01  6.3464776829E+06  1.2563836578E+06  1.2585716587E+06  6.3574927308E+06
  6.0000000000E+00  1.6425812373E-01  6.5910591949E+06  1.0807317622E+06  1.0826350167E+06  6.6030247743E+06
  7.0000000000E+00  1.4288078540E-01  6.3820259645E+06  9.1026619166E+05  9.1186888228E+05  6.3943401244E+06
  8.0000000000E+00  1.2957080410E-01  5.8920842952E+06  7.6213096807E+05  7.6344209994E+05  5.9042527425E+06
  9.0000000000E+00  1.2135095925E-01  5.2928102130E+06  6.4123995658E+05  6.4228759646E+05  5.3043857207E+06
  1.0000000000E+01  1.1607022127E-01  4.7072351147E+06  5.4553299799E+05  5.4636982135E+05  4.7178664635E+06
  1.1000000000E+01  1.1218207690E-01  4.1949713083E+06  4.6992973727E+05  4.7060059389E+05  4.2045648385E+06
  1.2000000000E+01  1.0970687068E-01  3.7374858680E+06  4.0948180755E+05  4.1002787879E+05  3.7459901283E+06
  1.3000000000E+01  1.0774887428E-01  3.3524239234E+06  3.6076720311E+05  3.6121990384E+05  3.3599512976E+06
  1.4000000000E+01  1.0579293057E-01  3.0344106851E+06  3.2063793916E+05  3.2101919894E+05  3.0411552315E+06
  1.5000000000E+01  1.0404941755E-01  2.7576986986E+06  2.8661732010E+05  2.8693694336E+05  2.7638712713E+06
  1.6000000000E+01  1.0272076395E-01  2.5077964901E+06  2.5733703093E+05  2.5760277130E+05  2.5134668680E+06
  1.7000000000E+01  1.0220329165E-01  2.2717471748E+06  2.3195834027E+05  2.3218003906E+05  2.2768565211E+06
  1.8000000000E+01  1.0255130380E-01  2.0500289201E+06  2.1004227465E+05  2.1023313858E+05  2.0545440073E+06
  1.9000000000E+01  1.0335727074E-01  1.8527727536E+06  1.9133599153E+05  1.9149753511E+05  1.8568867873E+06
  2.0000000000E+01  1.0441291668E-01  1.6809700481E+06  1.7537686510E+05  1.7551498557E+05  1.6846826554E+06
  2.1000000000E+01  1.0544211149E-01  1.5336705522E+06  1.6159203066E+05  1.6171346135E+05  1.5370104895E+06
  2.2000000000E+01  1.0648638348E-01  1.4036427816E+06  1.4936522481E+05  1.4946884351E+05  1.4067886296E+06
  2.3000000000E+01  1.0742204702E-01  1.2896759488E+06  1.3845026409E+05  1.3853963042E+05  1.2926013439E+06
  2.4000000000E+01  1.0865888225E-01  1.1894247446E+06  1.2916223160E+05  1.2924156327E+05  1.1920949867E+06
  2.5000000000E+01  1.1000604736E-01  1.0997411415E+06  1.2091032525E+05  1.2097817609E+05  1.1022789085E+06
  2.6000000000E+01  1.1133583466E-01  1.0206436698E+06  1.1357365681E+05  1.1363421486E+05  1.0229842865E+06
  2.7000000000E+01  1.1278814584E-01  9.4961250664E+05  1.0705343730E+05  1.0710503389E+05  9.5184323524E+05
  2.8000000000E+01  1.1429325799E-01  8.8697030592E+05  1.0132763117E+05  1.0137472600E+05  8.8896510327E+05
  2.9000000000E+01  1.1605195812E-01  8.3038896854E+05  9.6325953635E+04  9.6368265801E+04  8.3220671259E+05
  3.0000000000E+01  1.1799639334E-01  7.7926319033E+05  9.1913353415E+04  9.1950245919E+04  7.8098166479E+05
  3.1000000000E+01  1.1969893155E-01  7.3368216839E+05  8.7790689934E+04  8.7820971656E+04  7.3537545006E+05
  3.2000000000E+01  1.2120202082E-01  6.9290079009E+05  8.3953674554E+04  8.3980975988E+04  6.9445893841E+05
  3.3000000000E+01  1.2273209747E-01  6.5529424736E+05  8.0401799622E+04  8.0425637437E+04  6.5678464185E+05
  3.4000000000E+01  1.2423658359E-01  6.2053636223E+05  7.7074167424E+04  7.7093317637E+04  6.2203176227E+05
  3.5000000000E+01  1.2555612057E-01  5.8948270871E+05  7.3995081421E+04  7.4013162046E+04  5.9084936242E+05
  3.6000000000E+01  1.2684618849E-01  5.6084350910E+05  7.1124229424E+04  7.1140861467E+04  5.6210220814E+05
  3.7000000000E+01  1.2815398309E-01  5.3431954944E+05  6.8460472689E+04  6.8475178501E+04  5.3549786675E+05
  3.8000000000E+01  1.2961589314E-01  5.0956731248E+05  6.6035849524E+04  6.6048022321E+04  5.1071650966E+05
  3.9000000000E+01  1.3139147280E-01  4.8633616346E+05  6.3891962357E+04  6.3900424791E+04  4.8752585091E+05
  4.0000000000E+01  1.3335500095E-01  4.6542249651E+05  6.2058587741E+04  6.2066417464E+04  4.6652540228E+05
  4.1000000000E+01  1.3541706990E-01  4.4578449051E+05  6.0359920848E+04  6.0366829514E+04  4.4680731412E+05
  4.2000000000E+01  1.3724571526E-01  4.2749693962E+05  5.8666402664E+04  5.8672123250E+04  4.2845070990E+05
  4.3000000000E+01  1.3903967850E-01  4.1038372883E+05  5.7055627828E+04  5.7059621720E+04  4.1128769393E+05
