Filename: lbcmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  6.80       34   80 0.407     9.859E-04
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.863E+04  12.5     6.863E+04
F107,F107A,MLAT,MLONG:  150.      150.      66.0      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.0000000000E+00  7.5166096759E-01  9.4783014192E+05  7.1126187733E+05  7.1244692159E+05  9.4942483203E+05
  2.0000000000E+00  5.2335932016E-01  2.1474952898E+06  1.1220624096E+06  1.1239116749E+06  2.1511337703E+06
  3.0000000000E+00  3.7387012007E-01  3.4453995411E+06  1.2860547908E+06  1.2881319401E+06  3.4512890009E+06
  4.0000000000E+00  2.8359272531E-01  4.5172921152E+06  1.2790723552E+06  1.2810711820E+06  4.5251068819E+06
  5.0000000000E+00  2.2982729058E-01  5.1568003537E+06  1.1834144640E+06  1.1851734534E+06  5.1659030686E+06
  6.0000000000E+00  1.9847955740E-01  5.3371851020E+06  1.0578693555E+06  1.0593221368E+06  5.3469263128E+06
  7.0000000000E+00  1.8162611799E-01  5.1591410288E+06  9.3590072865E+05  9.3703475724E+05  5.1690029452E+06
  8.0000000000E+00  1.7496299968E-01  4.7628735000E+06  8.3249760367E+05  8.3332663464E+05  4.7724630623E+06
  9.0000000000E+00  1.7553064398E-01  4.2852760700E+06  7.5164146261E+05  7.5219726819E+05  4.2942683071E+06
  1.0000000000E+01  1.8086815889E-01  3.8227915591E+06  6.9108708619E+05  6.9142127111E+05  3.8309471817E+06
  1.1000000000E+01  1.8884840467E-01  3.4216855522E+06  6.4602346584E+05  6.4617985782E+05  3.4289715655E+06
  1.2000000000E+01  1.9963402213E-01  3.0648167661E+06  6.1182314024E+05  6.1184169811E+05  3.0712180341E+06
  1.3000000000E+01  2.1159757809E-01  2.7656511650E+06  5.8529283002E+05  5.8520508837E+05  2.7712738002E+06
  1.4000000000E+01  2.2359477520E-01  2.5200191091E+06  5.6363354329E+05  5.6346310620E+05  2.5250260602E+06
  1.5000000000E+01  2.3604255637E-01  2.3066994338E+06  5.4471883878E+05  5.4447923114E+05  2.3112635442E+06
  1.6000000000E+01  2.4938663860E-01  2.1141473922E+06  5.2753753692E+05  5.2724011163E+05  2.1183289901E+06
  1.7000000000E+01  2.6470754511E-01  1.9315175293E+06  5.1163017495E+05  5.1128726350E+05  1.9352753836E+06
  1.8000000000E+01  2.8235601547E-01  1.7585788258E+06  4.9691938671E+05  4.9654531015E+05  1.7618905728E+06
  1.9000000000E+01  3.0121269022E-01  1.6035733875E+06  4.8341768756E+05  4.8301665402E+05  1.6066120701E+06
  2.0000000000E+01  3.2058124191E-01  1.4676101459E+06  4.7091010749E+05  4.7048828320E+05  1.4703933993E+06
  2.1000000000E+01  3.3960494986E-01  1.3506856837E+06  4.5913720543E+05  4.5869954390E+05  1.3532036436E+06
  2.2000000000E+01  3.5847018880E-01  1.2481687194E+06  4.4787926452E+05  4.4743127650E+05  1.2504067684E+06
  2.3000000000E+01  3.7746682383E-01  1.1565501374E+06  4.3701746406E+05  4.3655930696E+05  1.1586249256E+06
  2.4000000000E+01  3.9616856391E-01  1.0754132146E+06  4.2650762739E+05  4.2604490885E+05  1.0772945464E+06
  2.5000000000E+01  4.1486194105E-01  1.0023465408E+06  4.1630201011E+05  4.1583543151E+05  1.0041358887E+06
  2.6000000000E+01  4.3302691174E-01  9.3741329793E+05  4.0639041243E+05  4.0592518543E+05  9.3905754065E+05
  2.7000000000E+01  4.5102497594E-01  8.7862395900E+05  3.9674558168E+05  3.9628134997E+05  8.8020079323E+05
  2.8000000000E+01  4.6827692740E-01  8.2624505353E+05  3.8737031312E+05  3.8691149495E+05  8.2766123004E+05
  2.9000000000E+01  4.8532281945E-01  7.7842708482E+05  3.7824124715E+05  3.7778842754E+05  7.7975464013E+05
  3.0000000000E+01  5.0201470478E-01  7.3483177337E+05  3.6934324390E+05  3.6889635577E+05  7.3613892031E+05
  3.1000000000E+01  5.1719947376E-01  6.9641997290E+05  3.6062714592E+05  3.6018804350E+05  6.9758933990E+05
  3.2000000000E+01  5.3198633133E-01  6.6099646305E+05  3.5207513856E+05  3.5164108340E+05  6.6206412691E+05
  3.3000000000E+01  5.4651982728E-01  6.2814660958E+05  3.4372192152E+05  3.4329457657E+05  6.2916768321E+05
  3.4000000000E+01  5.6086231792E-01  5.9759140587E+05  3.3558447783E+05  3.3516650106E+05  5.9862916689E+05
  3.5000000000E+01  5.7406859194E-01  5.7003474683E+05  3.2764573327E+05  3.2723904447E+05  5.7097361172E+05
  3.6000000000E+01  5.8676052554E-01  5.4445373402E+05  3.1986638933E+05  3.1946395911E+05  5.4530949968E+05
  3.7000000000E+01  5.9902114650E-01  5.2061503185E+05  3.1226161287E+05  3.1185941326E+05  5.2141016885E+05
  3.8000000000E+01  6.1106276938E-01  4.9824453037E+05  3.0485825242E+05  3.0445868255E+05  4.9902276736E+05
  3.9000000000E+01  6.2308490578E-01  4.7712549500E+05  2.9767952482E+05  2.9728969410E+05  4.7794950926E+05
  4.0000000000E+01  6.3405281093E-01  4.5792281775E+05  2.9072060590E+05  2.9034724978E+05  4.5868123635E+05
  4.1000000000E+01  6.4478143261E-01  4.3981809747E+05  2.8394968403E+05  2.8358654297E+05  4.4051432254E+05
  4.2000000000E+01  6.5505290463E-01  4.2289068862E+05  2.7737683776E+05  2.7701577392E+05  4.2353228862E+05
  4.3000000000E+01  6.6498026712E-01  4.0699358084E+05  2.7100808230E+05  2.7064270011E+05  4.0759671567E+05
  4.4000000000E+01  6.7482156682E-01  3.9195411697E+05  2.6486789497E+05  2.6449909134E+05  3.9255572036E+05
  4.5000000000E+01  6.8488104289E-01  3.7761213041E+05  2.5898213063E+05  2.5861938968E+05  3.7827481929E+05
  4.6000000000E+01  6.9382535134E-01  3.6463677924E+05  2.5333905044E+05  2.5299424147E+05  3.6525288167E+05
